datetime,datetime,year,month,day,random,sazonal,timeSeries
2008-01-01 00:00:00,2008-01-01 00:00:00,2008,1,1,0.9167915202507203,1.0,10.91679152025072
2008-01-01 01:00:00,2008-01-01 01:00:00,2008,1,1,0.06424856140150093,0.9999997588734665,10.064246150136166
2008-01-01 02:00:00,2008-01-01 02:00:00,2008,1,1,0.892114468231355,0.9999990354939822,10.892104823171177
2008-01-01 03:00:00,2008-01-01 03:00:00,2008,1,1,0.03158909554691591,0.999997829861896,10.031567394165876
2008-01-01 04:00:00,2008-01-01 04:00:00,2008,1,1,0.8886404538927847,0.9999961419777894,10.888601873670678
2008-01-01 05:00:00,2008-01-01 05:00:00,2008,1,1,0.9495632279333998,0.9999939718424762,10.949502946358162
2008-01-01 06:00:00,2008-01-01 06:00:00,2008,1,1,0.802559647446772,0.9999913194570031,10.802472842016803
2008-01-01 07:00:00,2008-01-01 07:00:00,2008,1,1,0.4816974133729899,0.9999881848226492,10.481579261599482
2008-01-01 08:00:00,2008-01-01 08:00:00,2008,1,1,0.305125644422224,0.9999845679409262,10.304971323831486
2008-01-01 09:00:00,2008-01-01 09:00:00,2008,1,1,0.9671067838428277,0.9999804688135782,10.96691147197861
2008-01-01 10:00:00,2008-01-01 10:00:00,2008,1,1,0.9027702721244997,0.9999758874425823,10.902529146550322
2008-01-01 11:00:00,2008-01-01 11:00:00,2008,1,1,0.09065996218662864,0.9999708238301476,10.090368200488104
2008-01-01 12:00:00,2008-01-01 12:00:00,2008,1,1,0.5326894475709212,0.9999652779787161,10.532342227358082
2008-01-01 13:00:00,2008-01-01 13:00:00,2008,1,1,0.005161120655886919,0.9999592498909624,10.004753619565511
2008-01-01 14:00:00,2008-01-01 14:00:00,2008,1,1,0.6192364138920208,0.9999527395697936,10.618763809589955
2008-01-01 15:00:00,2008-01-01 15:00:00,2008,1,1,0.31877850064638247,0.9999457470183493,10.318235970829877
2008-01-01 16:00:00,2008-01-01 16:00:00,2008,1,1,0.35433450705445957,0.9999382722400014,10.353717229454475
2008-01-01 17:00:00,2008-01-01 17:00:00,2008,1,1,0.6228188791554673,0.9999303152383551,10.622122031539018
2008-01-01 18:00:00,2008-01-01 18:00:00,2008,1,1,0.2861572808113898,0.9999218760172474,10.285376040983863
2008-01-01 19:00:00,2008-01-01 19:00:00,2008,1,1,0.42283529093019545,0.999912954580748,10.421964836737676
2008-01-01 20:00:00,2008-01-01 20:00:00,2008,1,1,0.9160836779895034,0.9999035509331596,10.9151191873211
2008-01-01 21:00:00,2008-01-01 21:00:00,2008,1,1,0.5918193448156372,0.9998936650790171,10.590755995605807
2008-01-01 22:00:00,2008-01-01 22:00:00,2008,1,1,0.31323412296285513,0.9998832970230879,10.312067093193734
2008-01-01 23:00:00,2008-01-01 23:00:00,2008,1,1,0.5028325794695236,0.9998724467703719,10.501557047173243
2008-01-02 00:00:00,2008-01-02 00:00:00,2008,1,2,0.8791814227115786,0.9998611143261019,10.877792565972598
2008-01-02 01:00:00,2008-01-02 01:00:00,2008,1,2,0.6471973086100877,0.9998492996957429,10.645690305567516
2008-01-02 02:00:00,2008-01-02 02:00:00,2008,1,2,0.15569058357448118,0.9998370028849926,10.154060612424407
2008-01-02 03:00:00,2008-01-02 03:00:00,2008,1,2,0.4348434115410973,0.999824223899781,10.433085650538906
2008-01-02 04:00:00,2008-01-02 04:00:00,2008,1,2,0.21567945135829947,0.9998109627462709,10.213789078821009
2008-01-02 05:00:00,2008-01-02 05:00:00,2008,1,2,0.8897011759503738,0.9997972194308576,10.88767337025895
2008-01-02 06:00:00,2008-01-02 06:00:00,2008,1,2,0.23190081223150405,0.9997829939601689,10.229730751833193
2008-01-02 07:00:00,2008-01-02 07:00:00,2008,1,2,0.1850696534838563,0.999768286341065,10.182752516894505
2008-01-02 08:00:00,2008-01-02 08:00:00,2008,1,2,0.633577600860267,0.9997530965806385,10.631108566666652
2008-01-02 09:00:00,2008-01-02 09:00:00,2008,1,2,0.7299473251315853,0.999737424686215,10.727321571993734
2008-01-02 10:00:00,2008-01-02 10:00:00,2008,1,2,0.44526564081792497,0.9997212706653522,10.442478347471447
2008-01-02 11:00:00,2008-01-02 11:00:00,2008,1,2,0.43191790130567786,0.9997046345258405,10.428964246564082
2008-01-02 12:00:00,2008-01-02 12:00:00,2008,1,2,0.6163785797578307,0.9996875162757026,10.613253742514857
2008-01-02 13:00:00,2008-01-02 13:00:00,2008,1,2,0.4856692378150721,0.9996699159231939,10.482368397047011
2008-01-02 14:00:00,2008-01-02 14:00:00,2008,1,2,0.8532450774651514,0.9996518334768022,10.849763412233173
2008-01-02 15:00:00,2008-01-02 15:00:00,2008,1,2,0.8146080872585117,0.9996332689452478,10.81094077671099
2008-01-02 16:00:00,2008-01-02 16:00:00,2008,1,2,0.5489892715530666,0.9996142223374836,10.545131494927903
2008-01-02 17:00:00,2008-01-02 17:00:00,2008,1,2,0.38018350286942615,0.9995946936626949,10.376130439496377
2008-01-02 18:00:00,2008-01-02 18:00:00,2008,1,2,0.6377882186667072,0.9995746829302993,10.6335350479697
2008-01-02 19:00:00,2008-01-02 19:00:00,2008,1,2,0.21342486482100376,0.9995541901499472,10.208966766320476
2008-01-02 20:00:00,2008-01-02 20:00:00,2008,1,2,0.06112883085620191,0.9995332153315211,10.056460984171412
2008-01-02 21:00:00,2008-01-02 21:00:00,2008,1,2,0.5029522760322627,0.9995117584851364,10.498069860883627
2008-01-02 22:00:00,2008-01-02 22:00:00,2008,1,2,0.34250194053641025,0.9994898196211406,10.337400136747815
2008-01-02 23:00:00,2008-01-02 23:00:00,2008,1,2,0.9179397767717812,0.9994673987501137,10.912613764272919
2008-01-03 00:00:00,2008-01-03 00:00:00,2008,1,3,0.9819820135639407,0.9994444958828685,10.976426972392627
2008-01-03 01:00:00,2008-01-03 01:00:00,2008,1,3,0.9139853690605528,0.9994211110304497,10.908196479365051
2008-01-03 02:00:00,2008-01-03 02:00:00,2008,1,3,0.551211278132264,0.999397244204135,10.545183720173615
2008-01-03 03:00:00,2008-01-03 03:00:00,2008,1,3,0.8516371946880884,0.999372895415434,10.845366148842427
2008-01-03 04:00:00,2008-01-03 04:00:00,2008,1,3,0.4226312342532693,0.999348064676089,10.41611188101416
2008-01-03 05:00:00,2008-01-03 05:00:00,2008,1,3,0.6849119528782384,0.999322751998075,10.678139472858987
2008-01-03 06:00:00,2008-01-03 06:00:00,2008,1,3,0.5389783112449511,0.9992969573935987,10.531947885180939
2008-01-03 07:00:00,2008-01-03 07:00:00,2008,1,3,0.9611881107700048,0.9992706808750998,10.953894919521003
2008-01-03 08:00:00,2008-01-03 08:00:00,2008,1,3,0.9036224247521093,0.9992439224552503,10.896061649304611
2008-01-03 09:00:00,2008-01-03 09:00:00,2008,1,3,0.39014896537136,0.9992166821469545,10.382315786840904
2008-01-03 10:00:00,2008-01-03 10:00:00,2008,1,3,0.5302278011817458,0.999188959963349,10.522117400815237
2008-01-03 11:00:00,2008-01-03 11:00:00,2008,1,3,0.5080157926241156,0.9991607559178031,10.499623351802146
2008-01-03 12:00:00,2008-01-03 12:00:00,2008,1,3,0.3367052936692665,0.9991320700239181,10.328025993908449
2008-01-03 13:00:00,2008-01-03 13:00:00,2008,1,3,0.6394392530596188,0.9991029022955281,10.6304682760149
2008-01-03 14:00:00,2008-01-03 14:00:00,2008,1,3,0.5401992989265241,0.9990732527466991,10.530931826393514
2008-01-03 15:00:00,2008-01-03 15:00:00,2008,1,3,0.9249736840181758,0.9990431213917298,10.915404897935472
2008-01-03 16:00:00,2008-01-03 16:00:00,2008,1,3,0.431542419740085,0.9990125082451511,10.421667502191596
2008-01-03 17:00:00,2008-01-03 17:00:00,2008,1,3,0.572400221547424,0.9989814133217262,10.562214354764686
2008-01-03 18:00:00,2008-01-03 18:00:00,2008,1,3,0.8655770424748509,0.9989498366364509,10.855075408839358
2008-01-03 19:00:00,2008-01-03 19:00:00,2008,1,3,0.6374238585937317,0.998917778204553,10.626601640639262
2008-01-03 20:00:00,2008-01-03 20:00:00,2008,1,3,0.1138612447270606,0.9988852380414929,10.10271362514199
2008-01-03 21:00:00,2008-01-03 21:00:00,2008,1,3,0.9005668133293899,0.998852216162963,10.88908897495902
2008-01-03 22:00:00,2008-01-03 22:00:00,2008,1,3,0.9348482582247081,0.9988187125848885,10.923035384073593
2008-01-03 23:00:00,2008-01-03 23:00:00,2008,1,3,0.9266999683215733,0.9987847273234264,10.914547241555837
2008-01-04 00:00:00,2008-01-04 00:00:00,2008,1,4,0.9771249045269796,0.9987502603949663,10.964627508476642
2008-01-04 01:00:00,2008-01-04 01:00:00,2008,1,4,0.8494299710855463,0.9987153118161298,10.836583089246846
2008-01-04 02:00:00,2008-01-04 02:00:00,2008,1,4,0.3387381558272238,0.9986798816037711,10.325536971864935
2008-01-04 03:00:00,2008-01-04 03:00:00,2008,1,4,0.18528175609448594,0.9986439697749765,10.17172145384425
2008-01-04 04:00:00,2008-01-04 04:00:00,2008,1,4,0.7444760667843507,0.9986075763470647,10.730551830254997
2008-01-04 05:00:00,2008-01-04 05:00:00,2008,1,4,0.21868529445168605,0.9985707013375863,10.20439230782755
2008-01-04 06:00:00,2008-01-04 06:00:00,2008,1,4,0.42602113853104007,0.9985333447643246,10.411354586174285
2008-01-04 07:00:00,2008-01-04 07:00:00,2008,1,4,0.30682803036434403,0.9984955066452949,10.291783096817293
2008-01-04 08:00:00,2008-01-04 08:00:00,2008,1,4,0.3043123356764086,0.9984571869987445,10.288884205663853
2008-01-04 09:00:00,2008-01-04 09:00:00,2008,1,4,0.27626058052780933,0.9984183858431536,10.260444438959345
2008-01-04 10:00:00,2008-01-04 10:00:00,2008,1,4,0.8217790357914482,0.9983791031972338,10.805570067763785
2008-01-04 11:00:00,2008-01-04 11:00:00,2008,1,4,0.543329587287433,0.9983393390799294,10.526722978086728
2008-01-04 12:00:00,2008-01-04 12:00:00,2008,1,4,0.013067343136046294,0.9982990935104169,9.996058278240216
2008-01-04 13:00:00,2008-01-04 13:00:00,2008,1,4,0.458270082526959,0.9982583665081046,10.440853747608005
2008-01-04 14:00:00,2008-01-04 14:00:00,2008,1,4,0.07458622999832576,0.9982171580926334,10.05675781092466
