datetime,datetime,random,year,month,day,sazonal,timeSeries
2022-01-01 00:00:00,2022-01-01 00:00:00,0.0032350397685594334,2022,1,1,1.0,10.00323503976856
2022-01-01 01:00:00,2022-01-01 01:00:00,0.8431599860345705,2022,1,1,0.9999997588734665,10.843157574769236
2022-01-01 02:00:00,2022-01-01 02:00:00,0.6272553869419163,2022,1,1,0.9999990354939822,10.627245741881739
2022-01-01 03:00:00,2022-01-01 03:00:00,0.6842724444651758,2022,1,1,0.999997829861896,10.684250743084135
2022-01-01 04:00:00,2022-01-01 04:00:00,0.9837276535380826,2022,1,1,0.9999961419777894,10.983689073315976
2022-01-01 05:00:00,2022-01-01 05:00:00,0.970414789560965,2022,1,1,0.9999939718424762,10.970354507985729
2022-01-01 06:00:00,2022-01-01 06:00:00,0.1547650135769204,2022,1,1,0.9999913194570031,10.15467820814695
2022-01-01 07:00:00,2022-01-01 07:00:00,0.8991556782216337,2022,1,1,0.9999881848226492,10.899037526448126
2022-01-01 08:00:00,2022-01-01 08:00:00,0.6988707737509046,2022,1,1,0.9999845679409262,10.698716453160166
2022-01-01 09:00:00,2022-01-01 09:00:00,0.1312318775030028,2022,1,1,0.9999804688135782,10.131036565638786
2022-01-01 10:00:00,2022-01-01 10:00:00,0.05506449709980654,2022,1,1,0.9999758874425823,10.054823371525629
2022-01-01 11:00:00,2022-01-01 11:00:00,0.650268923114216,2022,1,1,0.9999708238301476,10.649977161415693
2022-01-01 12:00:00,2022-01-01 12:00:00,0.7819074964742647,2022,1,1,0.9999652779787161,10.781560276261427
2022-01-01 13:00:00,2022-01-01 13:00:00,0.5203861667420288,2022,1,1,0.9999592498909624,10.519978665651653
2022-01-01 14:00:00,2022-01-01 14:00:00,0.45762951292627296,2022,1,1,0.9999527395697936,10.457156908624208
2022-01-01 15:00:00,2022-01-01 15:00:00,0.569505994356456,2022,1,1,0.9999457470183493,10.56896346453995
2022-01-01 16:00:00,2022-01-01 16:00:00,0.9902899658767569,2022,1,1,0.9999382722400014,10.989672688276771
2022-01-01 17:00:00,2022-01-01 17:00:00,0.6764715913946844,2022,1,1,0.9999303152383551,10.675774743778234
2022-01-01 18:00:00,2022-01-01 18:00:00,0.0867787840801375,2022,1,1,0.9999218760172474,10.08599754425261
2022-01-01 19:00:00,2022-01-01 19:00:00,0.27422014827272856,2022,1,1,0.999912954580748,10.27334969408021
2022-01-01 20:00:00,2022-01-01 20:00:00,0.7420026031900475,2022,1,1,0.9999035509331596,10.741038112521643
2022-01-01 21:00:00,2022-01-01 21:00:00,0.9632095893713574,2022,1,1,0.9998936650790171,10.962146240161529
2022-01-01 22:00:00,2022-01-01 22:00:00,0.6460147186310872,2022,1,1,0.9998832970230879,10.644847688861965
2022-01-01 23:00:00,2022-01-01 23:00:00,0.6804452772414812,2022,1,1,0.9998724467703719,10.6791697449452
2022-01-02 00:00:00,2022-01-02 00:00:00,0.844371767101108,2022,1,2,0.9998611143261019,10.842982910362128
2022-01-02 01:00:00,2022-01-02 01:00:00,0.03888702787873721,2022,1,2,0.9998492996957429,10.037380024836166
2022-01-02 02:00:00,2022-01-02 02:00:00,0.746350463533524,2022,1,2,0.9998370028849926,10.74472049238345
2022-01-02 03:00:00,2022-01-02 03:00:00,0.9332598019687327,2022,1,2,0.999824223899781,10.931502040966542
2022-01-02 04:00:00,2022-01-02 04:00:00,0.13880480172191756,2022,1,2,0.9998109627462709,10.136914429184626
2022-01-02 05:00:00,2022-01-02 05:00:00,0.6206313339527226,2022,1,2,0.9997972194308576,10.6186035282613
2022-01-02 06:00:00,2022-01-02 06:00:00,0.36047337073562835,2022,1,2,0.9997829939601689,10.358303310337316
2022-01-02 07:00:00,2022-01-02 07:00:00,0.5960426413195162,2022,1,2,0.999768286341065,10.593725504730164
2022-01-02 08:00:00,2022-01-02 08:00:00,0.635066774169273,2022,1,2,0.9997530965806385,10.632597739975658
2022-01-02 09:00:00,2022-01-02 09:00:00,0.7750286687125307,2022,1,2,0.999737424686215,10.77240291557468
2022-01-02 10:00:00,2022-01-02 10:00:00,0.9204001972910453,2022,1,2,0.9997212706653522,10.917612903944567
2022-01-02 11:00:00,2022-01-02 11:00:00,0.16252036956508187,2022,1,2,0.9997046345258405,10.159566714823486
2022-01-02 12:00:00,2022-01-02 12:00:00,0.25463342819319834,2022,1,2,0.9996875162757026,10.251508590950225
2022-01-02 13:00:00,2022-01-02 13:00:00,0.29452459443717915,2022,1,2,0.9996699159231939,10.291223753669119
2022-01-02 14:00:00,2022-01-02 14:00:00,0.7772518050383848,2022,1,2,0.9996518334768022,10.773770139806405
2022-01-02 15:00:00,2022-01-02 15:00:00,0.9944541975270048,2022,1,2,0.9996332689452478,10.990786886979484
2022-01-02 16:00:00,2022-01-02 16:00:00,0.7737455808678667,2022,1,2,0.9996142223374836,10.769887804242703
2022-01-02 17:00:00,2022-01-02 17:00:00,0.6078580687987282,2022,1,2,0.9995946936626949,10.603805005425679
2022-01-02 18:00:00,2022-01-02 18:00:00,0.37129953168287744,2022,1,2,0.9995746829302993,10.36704636098587
2022-01-02 19:00:00,2022-01-02 19:00:00,0.014303795555573262,2022,1,2,0.9995541901499472,10.009845697055045
2022-01-02 20:00:00,2022-01-02 20:00:00,0.18244193056960645,2022,1,2,0.9995332153315211,10.177774083884817
2022-01-02 21:00:00,2022-01-02 21:00:00,0.03258718201966804,2022,1,2,0.9995117584851364,10.027704766871032
2022-01-02 22:00:00,2022-01-02 22:00:00,0.7395961177654817,2022,1,2,0.9994898196211406,10.734494313976887
2022-01-02 23:00:00,2022-01-02 23:00:00,0.9442850642544625,2022,1,2,0.9994673987501137,10.9389590517556
2022-01-03 00:00:00,2022-01-03 00:00:00,0.8262012898019276,2022,1,3,0.9994444958828685,10.820646248630613
2022-01-03 01:00:00,2022-01-03 01:00:00,0.9283327745599435,2022,1,3,0.9994211110304497,10.922543884864442
2022-01-03 02:00:00,2022-01-03 02:00:00,0.145061196221433,2022,1,3,0.999397244204135,10.139033638262784
2022-01-03 03:00:00,2022-01-03 03:00:00,0.06362236281917821,2022,1,3,0.999372895415434,10.057351316973516
2022-01-03 04:00:00,2022-01-03 04:00:00,0.8607612947932415,2022,1,3,0.999348064676089,10.854241941554132
2022-01-03 05:00:00,2022-01-03 05:00:00,0.9416321672384417,2022,1,3,0.999322751998075,10.934859687219191
2022-01-03 06:00:00,2022-01-03 06:00:00,0.7330942569431101,2022,1,3,0.9992969573935987,10.726063830879097
2022-01-03 07:00:00,2022-01-03 07:00:00,0.9135956585081048,2022,1,3,0.9992706808750998,10.906302467259103
2022-01-03 08:00:00,2022-01-03 08:00:00,0.3478418776317751,2022,1,3,0.9992439224552503,10.340281102184278
2022-01-03 09:00:00,2022-01-03 09:00:00,0.6872924228040708,2022,1,3,0.9992166821469545,10.679459244273614
